Job Title,Job Location,Company Name,Job Description,Source URL
Data Scientist,"New York, NY",Daash Intelligence,-1,"https://www.glassdoor.com/job-listing/data-scientist-daash-intelligence-JV_IC1132348_KO0,14_KE15,33.htm?jl=1009864977030"
Data Scientist,"Washington, DC",America Votes,-1,"https://www.glassdoor.com/job-listing/data-scientist-america-votes-JV_IC1138213_KO0,14_KE15,28.htm?jl=1009864494991"
Online Data Research - United States,United States,TELUS Digital -,-1,"https://www.glassdoor.com/job-listing/online-data-research-united-states-telus-digital-JV_KO0,34_KE35,48.htm?jl=1009703718881"
Quality Data Scientist,Remote,Valenz,-1,"https://www.glassdoor.com/job-listing/quality-data-scientist-valenz-JV_KO0,22_KE23,29.htm?jl=1009864967165"
Data Labeler/Annotator,United States,Bigbear.ai,-1,"https://www.glassdoor.com/job-listing/data-labeler-annotator-bigbear-ai-JV_KO0,22_KE23,33.htm?jl=1009858650880"
Data Scientist I,"Pittsburgh, PA",The University of Pittsburgh,-1,"https://www.glassdoor.com/job-listing/data-scientist-i-the-university-of-pittsburgh-JV_IC1152990_KO0,16_KE17,45.htm?jl=1009865250934"
Data Partner - Basic Medical Science - Remote - North America,United States,TELUS Digital -,-1,"https://www.glassdoor.com/job-listing/data-partner-basic-medical-science-remote-north-america-telus-digital-JV_KO0,55_KE56,69.htm?jl=1009758847923"
Data Scientist,"New York, NY",Boosted.ai,-1,"https://www.glassdoor.com/job-listing/data-scientist-boosted-ai-JV_IC1132348_KO0,14_KE15,25.htm?jl=1009865000379"
"Data Scientist, GivingTuesday",Remote,DARO,-1,"https://www.glassdoor.com/job-listing/data-scientist-givingtuesday-daro-JV_KO0,28_KE29,33.htm?jl=1009847346221"
Data Scientist,Remote,Street Simplified,-1,"https://www.glassdoor.com/job-listing/data-scientist-street-simplified-JV_KO0,14_KE15,32.htm?jl=1009786990249"
"Data Scientist â€“ Cork, Ireland",Colorado,AtData,-1,"https://www.glassdoor.com/job-listing/data-scientist-cork-ireland-atdata-JV_KO0,27_KE28,34.htm?jl=1009864957046"
Data Scientist,Remote,Fulcrum Analytics,-1,"https://www.glassdoor.com/job-listing/data-scientist-fulcrum-analytics-JV_KO0,14_KE15,32.htm?jl=1008302409454"
Jr. Data Scientist,"Orlando, FL",InCharge Debt Solutions,-1,"https://www.glassdoor.com/job-listing/jr-data-scientist-incharge-debt-solutions-JV_IC1154247_KO0,17_KE18,41.htm?jl=1009847074712"
Data Scientist,"Philadelphia, PA",University of Pennsylvania,-1,"https://www.glassdoor.com/job-listing/data-scientist-university-of-pennsylvania-JV_IC1152672_KO0,14_KE15,41.htm?jl=1009864856708"
Data Scientist,"Reston, VA",ICF,-1,"https://www.glassdoor.com/job-listing/data-scientist-icf-JV_IC1130404_KO0,14_KE15,18.htm?jl=1009865197237"
Data Scientist,Remote,Appriss Retail,-1,"https://www.glassdoor.com/job-listing/data-scientist-appriss-retail-JV_KO0,14_KE15,29.htm?jl=1009853770729"
Data Partner - Biology - Remote - North America,United States,TELUS Digital -,-1,"https://www.glassdoor.com/job-listing/data-partner-biology-remote-north-america-telus-digital-JV_KO0,41_KE42,55.htm?jl=1009758195689"
Data Scientist,Remote,Exelo Technologies Inc,-1,"https://www.glassdoor.com/job-listing/data-scientist-exelo-technologies-inc-JV_KO0,14_KE15,37.htm?jl=1009850727866"
"Data Scientist (Contract, Remote)",Remote,Gun.io,-1,"https://www.glassdoor.com/job-listing/data-scientist-contract-remote-gun-io-JV_KO0,30_KE31,37.htm?jl=1009844486825"
"Data Scientist I, Neurology","Dallas, TX",UT Southwestern,-1,"https://www.glassdoor.com/job-listing/data-scientist-i-neurology-ut-southwestern-JV_IC1139977_KO0,26_KE27,42.htm?jl=1009865239671"
